,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
67770,2,2016-06-09 23:59:21,2016-06-09 23:59:21,6,21.5,-74.0149688720703,40.70920944213867,2,N,-73.79015350341797,40.64690017700195,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
71427,1,2016-06-10 00:06:28,2016-06-10 00:50:57,1,17.5,-73.99420928955078,40.738037109375,2,N,-73.78227996826173,40.64421844482422,1,52.0,0.0,0.5,11.66,5.54,0.3,70.0
73715,1,2016-06-10 00:21:00,2016-06-10 00:59:59,3,18.2,-73.9845962524414,40.75923156738281,2,N,-73.77633666992188,40.6453514099121,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
76439,2,2016-06-10 00:18:59,2016-06-10 01:26:29,1,18.21,-73.98206329345702,40.75275039672852,2,N,-73.78300476074219,40.64383316040039,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
84410,2,2016-06-10 00:53:08,2016-06-10 01:25:14,1,17.49,-73.97943115234375,40.75809860229492,2,N,-73.7799530029297,40.64717864990234,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
89422,1,2016-06-10 01:18:39,2016-06-10 01:47:38,1,17.7,-73.99393463134766,40.745750427246094,2,N,-73.79022979736328,40.646873474121094,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
96336,2,2016-06-01 00:03:47,2016-06-01 00:39:24,5,18.1,-73.97645568847656,40.75066375732422,2,N,-73.7762222290039,40.645545959472656,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
99042,2,2016-06-01 00:24:53,2016-06-01 00:54:40,3,19.45,-74.00756072998048,40.715328216552734,2,N,-73.78231048583984,40.64422607421875,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0
100338,2,2016-06-01 00:25:06,2016-06-01 00:45:47,1,16.07,-73.97769165039062,40.74623107910156,2,N,-73.79004669189453,40.64693832397461,1,52.0,0.0,0.5,7.0,5.54,0.3,65.34
101777,2,2016-06-01 01:05:07,2016-06-01 01:30:03,1,17.54,-73.98650360107422,40.758731842041016,2,N,-73.78180694580078,40.64435958862305,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
103780,1,2016-06-01 00:49:29,2016-06-01 01:18:02,4,16.9,-73.9906997680664,40.76024627685547,2,N,-73.78960418701173,40.64276123046875,3,52.0,0.0,0.5,0.0,5.54,0.3,58.34
106686,1,2016-06-01 01:24:45,2016-06-01 01:51:14,1,17.0,-73.99085998535155,40.74616241455078,2,N,-73.77627563476562,40.6453971862793,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
106977,1,2016-06-01 02:17:32,2016-06-01 02:45:55,1,16.7,-73.97164154052734,40.757190704345696,2,N,-73.788330078125,40.64175033569336,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
107416,1,2016-06-01 01:59:05,2016-06-01 02:28:29,1,17.8,-73.98936462402342,40.75043487548828,2,N,-73.78704833984375,40.64462661743164,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
107692,1,2016-06-01 01:59:51,2016-06-01 02:29:43,2,18.2,-73.98812866210938,40.7474021911621,2,N,-73.79019927978516,40.64683151245117,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
109107,2,2016-06-01 02:53:05,2016-06-01 03:21:11,1,19.15,-74.01231384277344,40.70876693725585,2,N,-73.77704620361328,40.6446418762207,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
109323,1,2016-06-01 01:32:08,2016-06-01 01:57:52,1,19.3,-74.00700378417969,40.70537567138672,2,N,-73.7825698852539,40.64402770996094,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
111035,2,2016-06-01 03:03:09,2016-06-01 03:34:19,2,18.51,-73.96023559570312,40.7981071472168,2,N,-73.78996276855469,40.646888732910156,1,52.0,0.0,0.5,0.0,5.54,0.3,58.34
111205,2,2016-06-01 03:23:04,2016-06-01 03:49:09,3,17.19,-73.96967315673827,40.75041961669922,2,N,-73.77633666992188,40.64577865600585,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
111907,2,2016-06-01 03:59:03,2016-06-01 04:27:08,2,19.06,-73.96488189697266,40.80669021606445,2,N,-73.77635192871094,40.64598083496094,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
